trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
178,False,"{'a': 0.5, 'e': 0.1671339350148836}",20,6,23.51769910378722,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.16546259566473476}",20,9,14.901677132416356,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16380796970808742}",20,8,21.922908731090356,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16216989001100654}",20,9,8.786491562689589,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.16054819111089647}",20,3,25.053493489219495,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.1589427091997875}",25,11,5.234041544296431,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.15735328210778962}",35,9,3.9663190504517845,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
185,False,"{'a': 0.5, 'e': 0.15577974928671173}",35,21,20.2565668750031,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.1542219517938446}",20,2,11.51645083679072,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.15267973227590617}",25,0,28.205892868837203,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
188,False,"{'a': 0.5, 'e': 0.1511529349531471}",30,13,19.373992032017114,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.14964140560361563}",20,0,20.520019962460587,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
190,False,"{'a': 0.5, 'e': 0.14814499154757946}",25,14,8.882758163878053,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.14666354163210368}",20,10,20.59059211890948,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.14519690621578263}",30,7,36.01147663936599,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.1437449371536248}",20,10,18.845981947983567,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.14230748778208857}",25,0,32.36298766315161,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
195,False,"{'a': 0.5, 'e': 0.14088441290426768}",25,15,-13.847036736929217,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.139475568775225}",25,5,35.729299032753545,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.13808081308747275}",20,0,31.54224879039733,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
